tick,timestamp,total_orders,delivered,reassigned,failed,on_time_rate,avg_distance,agents_busy,cost_saved_inr
2,1774023297.385189,123,1,2,1,50.0,29.48,25,276
2,1774023427.9864066,108,1,0,1,50.0,25.72,20,321
2,1774025469.290529,103,1,1,0,100.0,25.91,20,319
2,1774026008.7027688,103,1,1,0,100.0,25.91,20,319
2,1774026028.9481826,103,1,1,0,100.0,25.91,20,319
2,1774026057.96066,103,1,1,0,100.0,25.91,20,319
2,1774026076.7382088,103,1,1,0,100.0,25.91,20,319
3,1774000706.6005504,103,2,1,0,100.0,25.82,20,641
3,1774000841.1098475,103,2,1,0,100.0,25.82,20,641
3,1774000880.3769238,103,2,1,0,100.0,25.82,20,641
3,1774000912.8345702,103,2,1,0,100.0,25.82,20,641
3,1774000926.5997076,103,2,1,0,100.0,25.82,20,641
3,1774021261.9661994,103,2,1,0,100.0,25.82,20,641
3,1774022080.3546467,103,2,1,0,100.0,25.82,20,641
3,1774022534.7207196,103,2,1,0,100.0,25.82,20,641
3,1774022574.8369746,123,2,2,1,66.7,29.21,25,559
3,1774022593.1654446,153,5,1,0,100.0,25.09,30,1645
3,1774022642.278326,108,1,0,2,33.3,24.53,20,336
3,1774022747.065669,103,2,1,0,100.0,25.82,20,641
3,1774022815.7142668,103,2,1,0,100.0,25.82,20,641
3,1774022863.9582858,103,2,1,0,100.0,25.82,20,641
3,1774022879.6724648,103,2,1,0,100.0,25.82,20,641
3,1774023212.6787333,103,2,1,0,100.0,25.82,20,641
3,1774023300.4357674,123,2,2,1,66.7,29.21,25,559
3,1774023430.9952393,108,1,0,2,33.3,24.53,20,336
3,1774025472.3044128,103,2,1,0,100.0,25.82,20,641
3,1774026011.7425537,103,2,1,0,100.0,25.82,20,641
3,1774026033.9910743,103,2,1,0,100.0,25.82,20,641
3,1774026060.9728832,103,2,1,0,100.0,25.82,20,641
3,1774026079.748892,103,2,1,0,100.0,25.82,20,641
4,1774000709.681736,106,3,1,0,100.0,26.64,20,931
4,1774000844.1248813,106,3,1,0,100.0,26.64,20,931
4,1774000883.4659414,106,3,1,0,100.0,26.64,20,931
4,1774000915.8535275,106,3,1,0,100.0,26.64,20,931
4,1774000929.7167587,106,3,1,0,100.0,26.64,20,931
4,1774021264.980545,106,3,1,0,100.0,26.64,20,931
4,1774022541.1852431,106,3,1,0,100.0,26.64,20,931
4,1774022577.8479252,126,3,2,1,75.0,29.52,25,828
4,1774022596.2037473,161,5,1,0,100.0,25.3,30,1633
4,1774022645.293505,116,2,0,2,50.0,25.38,20,651
4,1774022750.0730987,106,3,1,0,100.0,26.64,20,931
4,1774022818.7257316,106,3,1,0,100.0,26.64,20,931
4,1774022882.6940217,106,3,1,0,100.0,26.64,20,931
4,1774023215.6899757,106,3,1,0,100.0,26.64,20,931
4,1774023303.5455923,126,3,2,1,75.0,29.52,25,828
4,1774023434.0128958,116,2,0,2,50.0,25.38,20,651
4,1774025475.4395769,106,3,1,0,100.0,26.64,20,931
4,1774026037.0108275,106,3,1,0,100.0,26.64,20,931
4,1774026063.982259,106,3,1,0,100.0,26.64,20,931
4,1774026082.7602336,106,3,1,0,100.0,26.64,20,931
5,1774000712.7175615,106,5,1,0,100.0,27.19,20,1519
5,1774000847.1527016,106,5,1,0,100.0,27.19,20,1519
5,1774000886.4836087,106,5,1,0,100.0,27.19,20,1519
5,1774000932.7858274,106,5,1,0,100.0,27.19,20,1519
5,1774021268.0468423,106,5,1,0,100.0,27.19,20,1519
5,1774022545.6864398,106,5,1,0,100.0,27.19,20,1519
5,1774022580.9595416,126,6,3,1,85.7,29.94,25,1625
5,1774022599.2135587,161,8,2,0,100.0,25.75,30,2569
5,1774022648.3186982,116,2,0,2,50.0,25.11,20,658
5,1774022753.1347318,106,5,1,0,100.0,27.19,20,1519
5,1774022821.7396712,106,5,1,0,100.0,27.19,20,1519
5,1774022885.7065628,106,5,1,0,100.0,27.19,20,1519
5,1774023218.7058136,106,5,1,0,100.0,27.19,20,1519
5,1774023306.5603683,126,6,3,1,85.7,29.94,25,1625
5,1774023437.026342,116,2,0,2,50.0,25.11,20,658
5,1774025478.567822,106,5,1,0,100.0,27.19,20,1519
5,1774026040.0470726,106,5,1,0,100.0,27.19,20,1519
5,1774026066.9910746,106,5,1,0,100.0,27.19,20,1519
5,1774026085.775014,106,5,1,0,100.0,27.19,20,1519
6,1774000715.736248,109,7,2,0,100.0,27.59,20,2093
6,1774000850.1746902,109,7,2,0,100.0,27.59,20,2093
6,1774000889.4949205,109,7,2,0,100.0,27.59,20,2093
6,1774000935.7976112,109,7,2,0,100.0,27.59,20,2093
6,1774021271.1449635,109,7,2,0,100.0,27.59,20,2093
6,1774022550.4574134,109,7,2,0,100.0,27.59,20,2093
6,1774022584.0316274,129,7,3,1,87.5,30.82,25,1822
6,1774022602.228207,169,8,2,0,100.0,25.59,30,2584
6,1774022651.384507,124,2,0,2,50.0,24.89,20,663
6,1774022756.2360318,109,7,2,0,100.0,27.59,20,2093
6,1774022824.7554057,109,7,2,0,100.0,27.59,20,2093
6,1774022888.7165396,109,7,2,0,100.0,27.59,20,2093
6,1774023221.720612,109,7,2,0,100.0,27.59,20,2093
6,1774023309.5700834,129,7,3,1,87.5,30.82,25,1822
6,1774023440.393354,124,2,0,2,50.0,24.89,20,663
6,1774025481.5879912,109,7,2,0,100.0,27.59,20,2093
6,1774026043.0571835,109,7,2,0,100.0,27.59,20,2093
6,1774026088.7866676,109,7,2,0,100.0,27.59,20,2093
7,1774000718.7471576,109,9,2,0,100.0,28.25,20,2620
7,1774000853.194793,109,9,2,0,100.0,28.25,20,2620
7,1774000892.5111797,109,9,2,0,100.0,28.25,20,2620
7,1774000938.8187437,109,9,2,0,100.0,28.25,20,2620
7,1774021274.1542966,109,9,2,0,100.0,28.25,20,2620
7,1774022553.493557,109,9,2,0,100.0,28.25,20,2620
7,1774022605.2409077,169,8,2,0,100.0,25.4,30,2603
7,1774022656.8232179,124,4,0,2,66.7,25.52,20,1296
7,1774022759.2485206,109,9,2,0,100.0,28.25,20,2620
7,1774022827.7716424,109,9,2,0,100.0,28.25,20,2620
7,1774023224.7374854,109,9,2,0,100.0,28.25,20,2620
7,1774023312.5776796,129,7,3,1,87.5,30.47,25,1851
7,1774023443.4101524,124,4,0,2,66.7,25.52,20,1296
7,1774025484.6027665,109,9,2,0,100.0,28.25,20,2620
7,1774026046.0672898,109,9,2,0,100.0,28.25,20,2620
7,1774026091.7997499,109,9,2,0,100.0,28.25,20,2620
8,1774000721.773486,112,11,2,0,100.0,30.16,20,2950
8,1774000856.2134666,112,11,2,0,100.0,30.16,20,2950
8,1774000895.525242,112,11,2,0,100.0,30.16,20,2950
8,1774000941.8275752,112,11,2,0,100.0,30.16,20,2950
8,1774021277.1705093,112,11,2,0,100.0,30.16,20,2950
8,1774022556.5624661,112,11,2,0,100.0,30.16,20,2950
8,1774022608.2964904,177,8,2,0,100.0,25.24,30,2618
8,1774022660.3250828,132,5,0,2,71.4,25.79,20,1603
8,1774022762.2643461,112,11,2,0,100.0,30.16,20,2950
8,1774022830.7825782,112,11,2,0,100.0,30.16,20,2950
8,1774023227.7509294,112,11,2,0,100.0,30.16,20,2950
8,1774023315.638166,132,7,3,1,87.5,30.41,25,1856
8,1774023446.420905,132,5,0,2,71.4,25.79,20,1603
8,1774025487.6200883,112,11,2,0,100.0,30.16,20,2950
8,1774026049.0757902,112,11,2,0,100.0,30.16,20,2950
8,1774026094.8203511,112,11,2,0,100.0,30.16,20,2950
9,1774000724.848817,112,13,2,0,100.0,30.81,20,3385
9,1774000859.2301695,112,13,2,0,100.0,30.81,20,3385
9,1774021280.1862776,112,13,2,0,100.0,30.81,20,3385
9,1774022559.5814748,112,13,2,0,100.0,30.81,20,3385
9,1774022611.3828597,177,9,2,0,100.0,25.38,30,2930
9,1774022663.3458464,132,5,0,3,62.5,24.45,20,1684
9,1774022765.2806933,112,13,2,0,100.0,30.81,20,3385
9,1774022833.9228857,112,13,2,0,100.0,30.81,20,3385
9,1774023230.7702422,112,13,2,0,100.0,30.81,20,3385
9,1774023318.739313,132,8,3,1,88.9,30.51,25,2112
9,1774023449.4293704,132,5,0,3,62.5,24.45,20,1684
9,1774025490.6321833,112,13,2,0,100.0,30.81,20,3385
9,1774026097.8329818,112,13,2,0,100.0,30.81,20,3385
10,1774000727.880096,115,13,2,0,100.0,30.66,20,3409
10,1774000862.2450337,115,13,2,0,100.0,30.66,20,3409
10,1774021283.2006848,115,13,2,0,100.0,30.66,20,3409
10,1774022562.5943563,115,13,2,0,100.0,30.66,20,3409
10,1774022614.4062767,185,10,2,0,100.0,25.93,30,3190
10,1774022666.370744,140,7,1,3,70.0,25.56,20,2264
10,1774022768.2937365,115,13,2,0,100.0,30.66,20,3409
10,1774023233.7933471,115,13,2,0,100.0,31.23,20,3320
10,1774023321.7520616,135,9,4,1,90.0,30.54,25,2373
10,1774023452.589137,140,7,1,3,70.0,25.56,20,2264
10,1774025493.651105,115,13,2,0,100.0,30.66,20,3409
10,1774026100.8454132,115,13,2,0,100.0,30.66,20,3409
11,1774000730.911181,115,15,2,0,100.0,31.43,20,3794
11,1774000865.3228607,115,15,2,0,100.0,31.43,20,3794
11,1774021286.2143128,115,15,2,0,100.0,31.43,20,3794
11,1774022565.6051326,115,15,2,0,100.0,31.43,20,3794
11,1774022617.42858,185,12,3,0,100.0,26.2,30,3789
11,1774022669.3986135,140,9,1,3,75.0,26.33,20,2827
11,1774022771.3084762,115,15,2,0,100.0,31.43,20,3794
11,1774023236.830534,115,15,2,0,100.0,32.0,20,3692
11,1774023324.7633193,135,11,4,1,91.7,31.0,25,2839
11,1774023455.6866581,140,9,1,3,75.0,26.33,20,2827
11,1774025496.664612,115,15,2,0,100.0,31.43,20,3794
11,1774026103.860996,115,15,2,0,100.0,31.43,20,3794
12,1774000733.944914,118,18,2,0,100.0,32.54,20,4314
12,1774000868.4955397,118,18,2,0,100.0,32.54,20,4314
12,1774021289.225752,118,18,2,0,100.0,32.54,20,4314
12,1774022620.493763,193,13,3,0,100.0,26.78,30,4014
12,1774022672.4340549,148,9,1,3,75.0,27.1,20,2744
12,1774022774.327617,118,18,2,0,100.0,32.54,20,4314
12,1774023239.8795357,118,18,2,0,100.0,33.86,20,4028
12,1774023327.7847927,138,13,5,1,92.9,31.1,24,3340
12,1774023458.7005084,148,9,1,3,75.0,27.1,20,2744
12,1774025499.6772318,118,18,2,0,100.0,32.54,20,4314
12,1774026106.8713374,118,18,2,0,100.0,32.54,20,4314
13,1774000736.969449,118,19,2,0,100.0,32.77,20,4501
13,1774021292.234619,118,19,2,0,100.0,32.77,20,4501
13,1774022624.0819876,193,14,5,2,87.5,26.24,30,4413
13,1774022675.4708881,148,11,1,3,78.6,27.96,20,3241
13,1774022777.3392882,118,19,2,0,100.0,32.77,20,4501
13,1774023242.895035,118,19,2,0,100.0,34.1,20,4197
13,1774023330.7967534,138,13,5,1,92.9,30.68,24,3405
13,1774023461.7173629,148,11,1,3,78.6,27.96,20,3241
13,1774025502.775857,118,19,2,0,100.0,32.77,20,4501
13,1774026109.882917,118,19,2,0,100.0,32.77,20,4501
14,1774000740.0835948,121,22,2,0,100.0,34.23,20,4826
14,1774021295.2572093,121,22,2,0,100.0,34.23,20,4826
14,1774022627.1809347,201,16,6,2,88.9,27.58,30,4787
14,1774022678.4882705,156,11,1,3,78.6,28.05,20,3229
14,1774022780.3542004,121,22,2,0,100.0,34.23,20,4826
14,1774023245.910103,121,22,2,0,100.0,35.5,20,4491
14,1774023333.8100033,141,16,5,1,94.1,32.01,25,3936
14,1774023464.756628,156,11,1,3,78.6,28.05,20,3229
14,1774025505.987932,121,22,2,0,100.0,35.52,20,4485
14,1774026112.8946807,121,22,2,0,100.0,34.23,20,4826
15,1774000743.2055593,121,22,2,0,100.0,33.8,20,4939
15,1774021298.2665088,121,22,2,0,100.0,33.8,20,4939
15,1774022630.1986523,201,18,7,2,90.0,28.01,30,5292
15,1774022681.5036654,156,13,1,3,81.2,28.8,20,3699
15,1774022783.363516,121,22,2,0,100.0,33.8,20,4939
15,1774023248.9278045,121,22,2,0,100.0,35.04,20,4612
15,1774023336.8230782,141,16,6,1,94.1,31.54,25,4026
15,1774023467.767172,156,13,1,3,81.2,28.8,20,3699
15,1774025508.998808,121,22,2,0,100.0,35.06,20,4607
15,1774026115.9031854,121,22,2,0,100.0,33.8,20,4939
16,1774000746.2334378,124,22,2,0,100.0,32.75,20,5217
16,1774021301.2740755,124,22,2,0,100.0,32.75,20,5217
16,1774022633.2205896,209,19,8,2,90.5,28.23,30,5536
16,1774022684.5180495,159,13,2,3,81.2,28.2,20,3792
16,1774022786.370867,124,22,2,0,100.0,32.75,20,5217
16,1774023251.944521,124,22,2,0,100.0,34.54,20,4744
16,1774023339.9489357,144,17,7,1,94.4,31.96,25,4192
16,1774023470.7811985,164,13,2,3,81.2,28.91,20,3682
16,1774025512.008667,124,22,2,0,100.0,34.82,20,4670
16,1774026118.915111,124,22,2,0,100.0,32.75,20,5217
17,1774000749.2514274,124,23,2,0,100.0,32.9,20,5412
17,1774021304.2832139,124,23,2,0,100.0,32.9,20,5412
17,1774022687.527803,159,15,3,3,83.3,28.61,20,4302
17,1774022789.3848,124,23,2,0,100.0,32.9,20,5412
17,1774023254.9586606,124,23,2,0,100.0,34.68,20,4921
17,1774023343.0195792,144,19,7,1,95.0,32.48,25,4567
17,1774023473.7965071,164,13,2,4,76.5,28.14,20,3802
17,1774025515.088649,124,23,2,0,100.0,35.04,20,4822
17,1774026121.9256182,124,23,2,0,100.0,32.9,20,5412
18,1774000752.3301003,127,24,2,0,100.0,34.36,20,5227
18,1774021307.3020897,127,24,2,0,100.0,34.36,20,5227
18,1774022690.6314766,162,18,3,3,85.7,30.15,20,4830
18,1774022792.4047925,127,24,2,0,100.0,34.36,20,5227
18,1774023257.9712558,127,23,2,0,100.0,34.34,20,5015
18,1774023346.031658,147,20,7,1,95.2,32.72,25,4750
18,1774023476.939526,172,15,3,4,78.9,29.43,20,4154
18,1774025518.173386,127,24,2,0,100.0,36.28,20,4674
18,1774026124.94167,127,24,2,0,100.0,34.36,20,5227
19,1774000755.4023967,127,26,3,0,100.0,34.89,20,5497
19,1774021310.436772,127,26,3,0,100.0,34.89,20,5497
19,1774022693.730326,162,20,3,3,87.0,30.83,20,5203
19,1774022795.4377363,127,26,3,0,100.0,34.89,20,5497
19,1774023260.985597,127,25,2,0,100.0,35.0,20,5253
19,1774023349.039523,147,23,7,1,95.8,33.72,25,5186
19,1774023480.0374465,172,18,3,4,81.8,30.74,20,4702
19,1774025521.1873293,127,26,2,0,100.0,37.02,20,4833
19,1774026127.9521108,127,26,3,0,100.0,34.89,20,5497
20,1774000758.564106,130,27,3,0,100.0,35.85,20,5398
20,1774021313.4701521,130,27,3,0,100.0,35.85,20,5398
20,1774022696.7457075,165,22,3,3,88.0,32.03,20,5407
20,1774022798.4469013,130,27,3,0,100.0,35.85,20,5398
20,1774023264.0479019,130,26,2,0,100.0,35.64,20,5263
20,1774023352.0588841,155,24,7,1,96.0,33.64,25,5435
20,1774023483.0567846,180,19,3,4,82.6,31.69,20,4747
20,1774025524.205664,130,27,2,0,100.0,38.11,20,4666
20,1774026131.0173855,130,27,3,0,100.0,35.85,20,5398
21,1774000761.5845556,130,29,4,0,100.0,36.09,20,5714
21,1774021316.4865117,130,29,4,0,100.0,36.09,20,5714
21,1774022699.761561,165,22,5,3,88.0,30.3,20,5863
21,1774022801.456349,130,29,4,0,100.0,36.09,20,5714
21,1774023267.0645058,130,28,3,0,100.0,35.76,20,5628
21,1774023355.0952454,155,24,7,3,88.9,33.0,25,5619
21,1774023486.090521,180,20,3,4,83.3,31.96,20,4932
21,1774025527.271695,130,29,2,0,100.0,38.98,20,4708
21,1774026134.1281908,130,29,4,0,100.0,36.09,20,5714
22,1774000764.605539,133,29,5,0,100.0,35.61,20,5881
22,1774021319.5040395,133,29,5,0,100.0,35.61,20,5881
22,1774022702.7770329,168,22,6,3,88.0,31.12,20,5647
22,1774023270.0785732,133,28,4,0,100.0,34.94,20,5904
22,1774023358.1081734,163,24,7,4,85.7,32.87,25,5656
22,1774023489.1134377,188,20,3,4,83.3,31.86,20,4956
22,1774025530.369979,133,29,3,0,100.0,38.38,20,4917
22,1774026137.1392918,133,29,5,0,100.0,35.61,20,5881
23,1774000767.6384454,133,31,5,0,100.0,36.58,20,5926
23,1774021322.5208673,133,31,5,0,100.0,36.58,20,5926
23,1774022705.7926927,168,23,6,4,85.2,30.5,20,6075
23,1774023273.0882945,133,30,4,0,100.0,35.73,20,6041
23,1774023361.1278534,163,25,8,5,83.3,32.36,25,6045
23,1774023492.1251614,188,22,3,4,84.6,32.66,20,5240
23,1774025533.3765216,133,31,4,0,100.0,39.37,20,4888
23,1774026140.161906,133,31,5,0,100.0,36.58,20,5926
24,1774000770.6794207,136,33,5,0,100.0,37.91,20,5782
24,1774021325.6062064,136,33,5,0,100.0,37.91,20,5782
24,1774022708.8060384,171,23,6,4,85.2,30.51,20,6072
24,1774023276.1034446,136,32,4,0,100.0,36.37,20,6198
24,1774023364.1465828,171,26,8,5,83.9,32.61,25,6209
24,1774023495.1343985,196,22,4,4,84.6,32.99,20,5153
24,1774025536.4598901,136,33,4,0,100.0,39.98,20,4962
24,1774026143.247169,136,33,5,0,100.0,37.91,20,5782
25,1774000773.703017,136,34,6,0,100.0,38.11,20,5875
25,1774021328.675027,136,34,6,0,100.0,38.11,20,5875
25,1774022711.8137262,171,25,7,4,86.2,31.02,20,6447
25,1774023279.1232533,136,33,4,0,100.0,36.47,20,6352
25,1774023367.1730628,171,26,8,5,83.9,32.51,25,6240
25,1774025539.5571468,136,34,5,0,100.0,40.1,20,5063
25,1774026146.312486,136,34,6,0,100.0,38.11,20,5875
26,1774000776.7234867,139,35,6,0,100.0,39.0,20,5674
26,1774021331.6908224,139,35,6,0,100.0,39.0,20,5674
26,1774022714.8254242,174,25,7,4,86.2,30.97,20,6462
26,1774023282.1436963,139,34,4,0,100.0,37.58,20,6091
26,1774023370.1824229,179,26,8,5,83.9,32.43,25,6265
26,1774025542.5675972,139,35,5,0,100.0,39.65,20,5401
26,1774026149.3231227,139,35,6,0,100.0,39.32,20,5540
27,1774000779.7499106,139,36,6,0,100.0,39.19,20,5754
27,1774021334.7073412,139,36,6,0,100.0,39.19,20,5754
27,1774022717.8358517,174,27,7,4,87.1,31.55,20,6791
27,1774023285.1545026,139,35,4,0,100.0,37.67,20,6233
27,1774023373.1930583,179,28,8,5,84.8,33.15,25,6505
27,1774025545.5765362,139,36,5,0,100.0,39.79,20,5495
27,1774026152.407768,139,36,6,0,100.0,39.49,20,5625
28,1774000782.7766368,142,36,7,0,100.0,39.36,20,5681
28,1774021337.7241058,142,36,7,0,100.0,39.36,20,5681
28,1774022720.8462477,177,27,8,4,87.1,31.24,20,6891
28,1774023288.171324,142,35,4,0,100.0,37.87,20,6149
28,1774023376.2397707,187,28,8,5,84.8,33.61,25,6350
28,1774025548.58364,142,36,5,0,100.0,40.5,20,5188
28,1774026155.4285178,142,36,7,0,100.0,39.32,20,5698
29,1774000785.8559268,142,39,10,0,100.0,40.28,20,5724
29,1774021340.9042754,142,39,10,0,100.0,40.28,20,5724
29,1774022723.855465,177,30,8,4,88.2,32.45,20,7222
29,1774023291.2537763,142,38,4,0,100.0,39.34,20,6006
29,1774023379.2608352,187,29,8,5,85.3,33.87,25,6487
29,1774025551.5950203,142,39,5,0,100.0,42.08,20,4881
29,1774026158.4441202,142,39,10,0,100.0,40.74,20,5508
30,1774000788.888683,145,39,11,0,100.0,39.05,20,6299
30,1774021343.9895785,145,39,11,0,100.0,39.05,20,6299
30,1774022726.9915717,180,32,8,4,88.9,32.82,20,7561
30,1774023382.2675827,195,30,8,5,85.7,34.29,25,6559
30,1774025554.6101573,145,39,5,0,100.0,42.28,20,4788
30,1774026161.4596567,145,39,11,0,100.0,40.6,20,5574
31,1774000791.9077935,145,39,11,1,97.5,38.35,20,6627
31,1774021347.0032017,145,39,11,1,97.5,38.35,20,6627
31,1774022730.015495,180,33,8,4,89.2,33.07,20,7698
31,1774023385.2795467,195,30,8,8,78.9,32.98,25,7031
31,1774025557.6213086,145,39,5,1,97.5,41.54,20,5134
31,1774026164.4756975,145,39,11,1,97.5,39.93,20,5887
32,1774000794.9258668,148,39,11,1,97.5,37.57,20,6992
32,1774021350.0179558,148,39,11,1,97.5,37.57,20,6992
32,1774022733.0291033,183,35,8,4,89.7,34.1,20,7732
32,1774023388.3820846,203,31,10,8,79.5,33.32,25,7139
32,1774025560.6304939,148,39,5,1,97.5,40.65,20,5550
32,1774026167.505403,148,39,11,1,97.5,39.4,20,6135
33,1774000797.94441,148,40,11,1,97.6,37.86,20,7032
33,1774021353.0474482,148,40,11,1,97.6,37.86,20,7032
33,1774023391.396432,203,32,10,8,80.0,33.58,25,7269
33,1774025563.646067,148,40,5,1,97.6,40.85,20,5597
33,1774026170.516058,148,40,11,1,97.6,39.66,20,6168
34,1774000800.970958,151,41,11,1,97.6,38.71,20,6790
34,1774021356.0659747,151,41,11,1,97.6,38.71,20,6790
34,1774023394.4027312,211,32,10,8,80.0,33.36,25,7354
34,1774025566.6703255,151,41,5,1,97.6,41.69,20,5323
34,1774026173.5257292,151,41,11,1,97.6,39.53,20,6386
35,1774000803.9939337,151,41,11,1,97.6,38.41,20,6937
35,1774021359.0809572,151,41,11,1,97.6,38.41,20,6937
35,1774023397.4189136,211,34,11,8,81.0,33.58,25,7723
35,1774025569.682613,151,41,5,2,95.3,40.4,20,5958
35,1774026176.5335844,151,41,11,1,97.6,39.22,20,6539
36,1774000807.018263,154,42,11,1,97.7,39.59,20,6512
36,1774021362.0941818,154,42,11,1,97.7,39.59,20,6512
36,1774023400.5807605,219,35,12,9,79.5,32.66,25,8337
36,1774025572.6983984,154,42,5,2,95.5,40.73,20,5937
36,1774026179.630239,154,42,11,1,97.7,39.64,20,6486
37,1774000810.1256526,154,43,11,1,97.7,39.96,20,6476
37,1774021365.1114893,154,43,11,1,97.7,39.96,20,6476
37,1774023403.714067,219,35,12,9,79.5,32.48,25,8413
37,1774025575.7101352,154,42,5,2,95.5,40.35,20,6129
37,1774026182.7139945,154,43,11,1,97.7,39.99,20,6460
38,1774000813.1466575,157,44,11,1,97.8,40.07,20,6568
38,1774021368.1668677,157,44,11,1,97.8,40.07,20,6568
38,1774023406.728281,227,36,12,9,80.0,32.71,25,8554
38,1774025578.7271388,157,43,5,2,95.6,40.62,20,6135
38,1774026185.7272608,157,44,11,1,97.8,40.52,20,6331
39,1774000816.1685476,157,45,12,1,97.8,39.56,20,6993
39,1774021371.253841,157,45,12,1,97.8,39.56,20,6993
39,1774023409.75113,227,37,12,10,78.7,33.04,25,8645
39,1774025581.743062,157,44,6,2,95.7,39.96,20,6626
39,1774026188.7334619,157,45,12,1,97.8,39.97,20,6772
40,1774000819.1848102,160,46,13,1,97.9,39.78,20,7027
40,1774021374.2714667,160,46,13,1,97.9,39.78,20,7027
40,1774023412.773455,235,37,12,10,78.7,33.04,25,8645
40,1774025584.7566857,160,45,6,2,95.7,40.4,20,6539
40,1774026191.7393904,160,46,13,1,97.9,41.02,20,6342
41,1774000822.2118988,160,47,13,1,97.9,40.03,20,7039
41,1774021377.288153,160,47,13,1,97.9,40.03,20,7039
41,1774023415.7867796,235,37,12,10,78.7,32.83,25,8738
41,1774025587.7697153,160,46,6,2,95.8,40.51,20,6624
41,1774026194.7496579,160,47,13,1,97.9,41.25,20,6351
42,1774000825.2694452,163,47,13,1,97.9,39.66,20,7247
42,1774021380.3030925,163,47,13,1,97.9,39.66,20,7247
42,1774023418.8816133,243,38,12,10,79.2,33.41,25,8710
42,1774025590.7828941,163,46,6,2,95.8,40.42,20,6674
42,1774026197.7562702,163,47,13,1,97.9,41.42,20,6255
43,1774000828.2915123,163,47,13,1,97.9,39.27,20,7467
43,1774021383.3289292,163,47,13,1,97.9,39.27,20,7467
43,1774023421.9648855,243,39,13,10,79.6,33.49,25,8901
43,1774025593.7973967,163,46,6,3,93.9,39.47,20,7198
43,1774026200.7627277,163,47,13,1,97.9,41.0,20,6492
44,1774021386.4302797,166,49,14,1,98.0,40.58,20,7015
44,1774025596.8158917,166,48,7,3,94.1,42.18,20,5950
44,1774026203.7703776,166,49,14,1,98.0,42.36,20,5968
